Record number,Number of inquiries in the past three months,Age of the most recent inquiry,Number of derogatory public records,Age of the most recent derogatory public record,Bankruptcy on file,Subject’s age,Subject’s average income in last 5 years,Credit Score,Education,Number of bank accounts opened in last 5 years,Number of bank accounts closed in last 5 years,Marital_status,Gendre,Head of household,Housing  type
20046,10,9,5,3,FALSE,66,175,600,HS,3,2,Divorced,Male,FALSE,Owner
20047,2,6,1,3,TRUE,56,175,850,BS,1,1,Single,Female,TRUE,Rental
20048,5,5,2,6,TRUE,56,125,660,None,0,0,Widowed,Male,FALSE,Owner
20049,5,8,1,3,TRUE,24,175,660,MS,2,2,Married,Female,TRUE,Rental
20050,6,13,0,1,TRUE,40,75,660,None,6,3,Widowed,Female,FALSE,Owner
20051,6,11,5,3,TRUE,22,250,660,MS,3,1,Separated,Male,FALSE,Rental
20052,7,15,2,6,FALSE,65,125,620,MS,4,1,Separated,Male,TRUE,Rental
20053,3,4,5,6,TRUE,40,310,NaN,MS,5,0,Single,Male,FALSE,Owner
20054,7,2,0,1,TRUE,60,49,800,HS,1,0,Widowed,Male,FALSE,Rental
20055,9,15,2,1,FALSE,40,49,600,HS,4,1,Divorced,Male,TRUE,Rental
20056,4,4,0,4,TRUE,50,250,300,BS,0,3,Married,Male,FALSE,Owner
20057,6,7,1,4,TRUE,60,125,850,None,5,1,Widowed,Female,TRUE,Owner
20058,6,12,0,3,TRUE,35,250,850,PhD,0,1,Married,Female,FALSE,Owner
20059,10,6,0,1,TRUE,24,75,730,BS,4,3,Divorced,Female,FALSE,Rental
20060,5,7,5,3,FALSE,35,250,620,PhD,1,1,Divorced,Male,FALSE,Rental
20061,7,10,1,1,TRUE,65,310,NaN,MS,4,0,Widowed,Female,TRUE,Rental
20062,7,14,11,3,TRUE,37,310,NaN,None,6,3,Widowed,Female,FALSE,Owner
20063,2,1,2,1,FALSE,63,49,730,MS,4,2,Married,Male,TRUE,Owner
20064,7,13,5,6,TRUE,48,49,670,HS,3,2,Widowed,Male,FALSE,Owner
20065,9,8,5,4,TRUE,44,125,660,PhD,2,1,Widowed,Female,TRUE,Owner
20066,10,12,2,3,TRUE,NaN,49,300,BS,3,2,Divorced,Male,FALSE,Owner
20067,2,5,0,6,FALSE,56,125,300,HS,2,3,Single,Female,TRUE,Owner
20068,3,12,2,4,FALSE,56,250,660,PhD,1,1,Separated,Female,TRUE,Rental
20069,3,3,0,1,TRUE,67,310,760,None,1,3,Widowed,Male,TRUE,Owner
20070,9,5,5,1,TRUE,63,125,670,None,4,1,Divorced,Female,FALSE,Owner
20071,8,6,0,3,TRUE,57,75,760,MS,1,3,Divorced,Male,FALSE,Rental
20072,9,11,1,1,TRUE,37,250,NaN,MS,2,2,Separated,Female,TRUE,Owner
20073,9,2,2,4,FALSE,63,175,800,HS,1,3,Single,Female,TRUE,Owner
20074,8,15,1,1,FALSE,77,75,600,PhD,5,1,Divorced,Male,FALSE,Rental
20075,9,9,11,3,TRUE,37,310,NaN,BS,3,3,Widowed,Female,FALSE,Rental
20076,0,12,11,6,FALSE,35,175,300,HS,0,3,Single,Female,FALSE,Owner
20077,3,11,0,4,FALSE,65,49,850,BS,0,2,Divorced,Male,FALSE,Rental
20078,8,11,2,3,TRUE,66,75,730,PhD,5,0,Widowed,Female,TRUE,Owner
20079,1,1,5,3,FALSE,63,75,850,BS,6,1,Separated,Female,TRUE,Owner
20080,8,3,0,4,FALSE,40,75,620,BS,0,1,Single,Male,FALSE,Rental
20081,7,12,11,1,FALSE,63,175,600,PhD,1,0,Divorced,Female,TRUE,Rental
20082,1,6,11,3,FALSE,22,75,620,HS,2,2,Divorced,Female,TRUE,Rental
20083,0,9,1,4,FALSE,70,310,500,HS,3,3,Divorced,Female,TRUE,Owner
20084,4,13,0,4,TRUE,67,175,760,PhD,2,2,Divorced,Female,FALSE,Owner
20085,0,3,1,6,TRUE,48,49,730,HS,3,3,Married,Male,FALSE,Rental
20086,0,2,0,3,TRUE,22,75,730,HS,1,3,Widowed,Female,TRUE,Owner
20087,7,11,5,1,FALSE,67,125,800,BS,3,0,Divorced,Male,FALSE,Owner
20088,6,10,5,3,TRUE,66,49,660,BS,1,0,Married,Female,TRUE,Rental
20089,6,14,2,3,FALSE,56,310,300,None,3,1,Widowed,Female,TRUE,Owner
20090,7,14,2,4,TRUE,60,49,NaN,MS,5,1,Single,Male,FALSE,Rental
20091,4,3,2,1,FALSE,60,125,300,MS,6,2,Married,Male,FALSE,Rental
20092,5,3,1,4,TRUE,70,125,730,PhD,5,3,Divorced,Female,TRUE,Rental
20093,9,13,0,3,TRUE,60,250,660,BS,0,0,Married,Male,FALSE,Owner
20094,4,6,11,6,FALSE,57,250,620,PhD,1,0,Divorced,Female,FALSE,Rental
20095,5,12,2,6,TRUE,65,49,850,BS,5,1,Divorced,Male,TRUE,Rental
20096,7,3,5,4,FALSE,65,250,500,BS,0,1,Widowed,Female,FALSE,Owner
20097,9,7,11,4,FALSE,NaN,125,500,PhD,6,1,Married,Female,FALSE,Owner
20098,10,12,0,3,TRUE,66,49,730,BS,4,0,Widowed,Female,TRUE,Rental
20099,7,14,2,4,FALSE,35,125,730,MS,6,0,Single,Female,TRUE,Rental
20100,3,14,0,4,FALSE,56,49,600,HS,0,1,Widowed,Male,FALSE,Rental
20101,6,13,11,3,TRUE,35,49,620,None,0,2,Single,Female,TRUE,Rental
20102,10,12,0,6,TRUE,37,49,NaN,BS,1,1,Single,Male,TRUE,Rental
20103,8,12,5,6,FALSE,37,250,620,MS,5,0,Widowed,Male,FALSE,Rental
20104,4,5,1,1,TRUE,35,125,620,None,0,2,Widowed,Male,TRUE,Owner
20105,8,10,2,6,TRUE,57,49,810,PhD,2,0,Separated,Male,FALSE,Rental
20106,3,15,5,1,FALSE,67,125,NaN,PhD,6,3,Married,Female,TRUE,Owner
20107,9,8,0,1,FALSE,35,75,850,BS,2,1,Single,Male,FALSE,Owner
20108,8,9,1,6,TRUE,20,310,760,None,0,1,Widowed,Female,TRUE,Rental
20109,0,15,11,6,TRUE,65,75,810,BS,2,1,Single,Female,FALSE,Owner
20110,6,12,2,1,FALSE,NaN,250,300,HS,3,2,Widowed,Male,FALSE,Rental
20111,6,11,2,4,FALSE,56,49,300,MS,0,2,Married,Female,FALSE,Rental
20112,4,1,0,3,TRUE,56,250,300,HS,6,2,Separated,Female,TRUE,Rental
20113,10,15,2,1,FALSE,63,175,800,None,2,2,Single,Female,FALSE,Rental
20114,8,2,1,6,FALSE,NaN,49,760,None,2,2,Divorced,Female,TRUE,Owner
20115,2,8,0,6,FALSE,50,175,620,BS,0,2,Separated,Male,FALSE,Rental
20116,9,1,11,4,FALSE,77,125,730,None,2,3,Divorced,Male,TRUE,Rental
20117,6,10,2,4,TRUE,56,250,730,PhD,4,2,Divorced,Male,TRUE,Owner
20118,2,11,2,4,FALSE,44,125,800,PhD,3,2,Single,Female,TRUE,Owner
20119,4,5,0,1,FALSE,57,250,670,None,3,1,Widowed,Male,TRUE,Owner
20120,3,1,1,4,TRUE,67,250,620,PhD,0,0,Married,Male,TRUE,Rental
20121,8,1,2,3,FALSE,NaN,250,NaN,PhD,6,3,Single,Female,FALSE,Owner
20122,5,15,1,4,TRUE,77,310,660,BS,1,2,Single,Male,TRUE,Owner
20123,3,3,0,4,FALSE,35,175,660,BS,5,3,Married,Female,TRUE,Owner
20124,3,8,1,4,TRUE,56,175,620,PhD,0,0,Divorced,Male,TRUE,Rental
20125,8,10,11,4,TRUE,63,175,800,HS,0,3,Single,Female,FALSE,Owner
20126,6,11,1,3,TRUE,60,250,730,BS,2,3,Separated,Female,TRUE,Owner
20127,6,6,2,6,FALSE,60,310,810,BS,6,3,Single,Male,FALSE,Owner
20128,3,9,1,3,TRUE,50,125,620,None,4,0,Separated,Female,FALSE,Rental
20129,3,6,11,1,TRUE,65,175,600,HS,4,3,Single,Female,TRUE,Owner
20130,1,10,1,6,TRUE,65,175,620,BS,0,0,Divorced,Female,FALSE,Rental
20131,8,12,5,1,FALSE,22,310,730,None,0,3,Single,Male,FALSE,Rental
20132,5,9,0,3,FALSE,70,75,300,None,3,1,Single,Male,FALSE,Rental
20133,3,12,0,1,TRUE,48,175,850,MS,3,1,Widowed,Female,TRUE,Rental
20134,2,4,2,4,FALSE,70,175,850,BS,4,1,Widowed,Female,TRUE,Rental
20135,6,7,1,1,FALSE,66,49,760,PhD,5,3,Separated,Male,FALSE,Owner
20136,9,9,0,1,TRUE,67,310,850,HS,1,0,Single,Male,TRUE,Owner
20137,6,10,0,4,TRUE,37,250,600,MS,2,2,Single,Female,FALSE,Owner
20138,5,13,2,6,FALSE,30,310,670,PhD,4,3,Separated,Female,TRUE,Owner
20139,2,15,1,6,TRUE,30,49,620,BS,2,1,Divorced,Male,FALSE,Rental
20140,2,5,1,3,FALSE,66,75,800,HS,1,3,Widowed,Female,TRUE,Owner
20141,2,14,11,6,FALSE,30,125,300,PhD,4,1,Married,Male,FALSE,Rental
20142,8,5,2,4,TRUE,63,175,730,None,5,1,Married,Female,TRUE,Owner
20143,0,9,11,6,FALSE,48,250,NaN,PhD,0,1,Single,Male,TRUE,Rental
20144,7,1,11,3,TRUE,22,49,300,MS,1,1,Married,Female,FALSE,Rental
20145,9,2,5,4,FALSE,60,75,620,PhD,3,3,Widowed,Female,FALSE,Owner
20146,0,14,1,1,TRUE,20,125,670,BS,4,2,Single,Male,FALSE,Owner
20147,9,3,0,6,TRUE,30,175,810,None,0,2,Married,Male,TRUE,Rental
20148,4,2,1,3,TRUE,50,310,660,MS,1,2,Widowed,Male,FALSE,Owner
20149,9,14,1,6,FALSE,35,125,500,None,5,3,Single,Male,FALSE,Owner
20150,10,5,2,3,TRUE,40,310,760,PhD,6,0,Single,Female,TRUE,Owner
20151,0,3,1,6,TRUE,37,49,800,BS,1,0,Married,Female,TRUE,Owner
20152,7,13,11,3,FALSE,65,310,670,PhD,0,2,Widowed,Male,FALSE,Owner
20153,5,2,0,1,FALSE,70,125,660,BS,1,3,Divorced,Female,TRUE,Owner
20154,0,15,11,1,FALSE,22,250,730,MS,5,1,Separated,Male,FALSE,Rental
20155,10,12,5,1,FALSE,48,125,500,PhD,1,3,Widowed,Female,FALSE,Owner
20156,9,14,5,3,FALSE,66,49,760,PhD,3,1,Separated,Female,FALSE,Owner
20157,6,7,5,4,TRUE,65,49,660,HS,0,3,Married,Male,FALSE,Rental
20158,1,7,1,4,FALSE,63,310,850,PhD,5,1,Divorced,Male,TRUE,Owner
20159,3,2,0,6,TRUE,44,125,660,MS,0,3,Separated,Male,TRUE,Rental
20160,9,6,0,6,TRUE,24,310,800,BS,4,1,Married,Female,FALSE,Owner
20161,3,10,0,6,FALSE,48,125,760,None,5,3,Married,Female,TRUE,Owner
20162,1,7,0,6,FALSE,37,250,810,PhD,2,0,Divorced,Female,FALSE,Owner
20163,10,1,11,4,TRUE,35,125,730,BS,5,3,Widowed,Male,FALSE,Owner
20164,9,5,0,4,TRUE,77,250,800,None,4,2,Separated,Male,TRUE,Owner
20165,4,9,1,3,FALSE,60,125,500,MS,3,1,Widowed,Female,FALSE,Owner
20166,2,6,1,4,FALSE,63,310,850,BS,6,0,Widowed,Female,TRUE,Rental
20167,2,14,0,4,TRUE,24,125,NaN,MS,5,1,Separated,Male,TRUE,Rental
20168,9,7,0,4,TRUE,48,125,810,PhD,5,1,Separated,Male,TRUE,Rental
20169,9,8,2,1,TRUE,67,250,850,HS,4,2,Divorced,Female,TRUE,Rental
20170,8,1,11,1,FALSE,57,310,300,MS,1,1,Married,Female,TRUE,Owner
20171,2,6,1,3,TRUE,66,175,850,HS,3,2,Single,Female,FALSE,Owner
20172,7,7,0,3,FALSE,NaN,250,760,PhD,4,2,Widowed,Female,FALSE,Owner
20173,3,9,2,4,TRUE,22,75,810,MS,3,2,Widowed,Male,FALSE,Owner
20174,8,8,2,3,TRUE,NaN,75,300,BS,4,3,Divorced,Male,TRUE,Owner
20175,1,15,11,6,FALSE,66,310,730,MS,1,0,Married,Female,FALSE,Rental
20176,4,14,0,3,TRUE,65,250,500,None,0,3,Widowed,Male,TRUE,Owner
20177,1,6,1,3,TRUE,67,49,850,PhD,1,1,Separated,Male,FALSE,Owner
20178,2,5,1,6,TRUE,57,175,800,HS,5,1,Married,Female,TRUE,Rental
20179,6,15,2,6,TRUE,60,49,760,MS,1,3,Widowed,Female,TRUE,Rental
20180,0,15,2,4,FALSE,65,310,810,MS,4,1,Single,Female,FALSE,Rental
20181,4,1,2,3,TRUE,30,310,810,None,1,2,Married,Female,FALSE,Owner
20182,1,1,1,6,FALSE,65,125,500,HS,6,0,Single,Female,TRUE,Rental
20183,8,1,0,6,TRUE,48,310,NaN,HS,5,2,Divorced,Male,TRUE,Rental
20184,6,11,2,1,TRUE,70,49,600,MS,0,3,Separated,Female,TRUE,Owner
20185,2,10,0,6,TRUE,60,49,620,MS,4,2,Widowed,Male,FALSE,Rental
20186,5,1,0,6,TRUE,40,75,670,MS,3,1,Single,Female,FALSE,Rental
20187,4,13,0,1,TRUE,63,75,620,BS,6,1,Divorced,Male,FALSE,Rental
20188,2,8,2,4,TRUE,67,310,760,MS,3,1,Married,Male,TRUE,Rental
20189,6,15,5,6,FALSE,24,175,660,None,0,3,Divorced,Male,FALSE,Rental
20190,8,11,2,1,FALSE,70,49,800,PhD,4,2,Divorced,Female,TRUE,Owner
20191,8,12,5,1,TRUE,30,310,800,PhD,2,2,Single,Female,FALSE,Rental
20192,3,9,5,1,TRUE,24,175,NaN,HS,2,0,Single,Male,TRUE,Rental
20193,8,1,2,6,FALSE,35,175,850,BS,3,0,Married,Male,FALSE,Owner
20194,9,1,2,6,FALSE,24,125,760,HS,4,3,Widowed,Male,TRUE,Rental
20195,1,8,0,3,TRUE,77,310,620,PhD,1,0,Married,Male,FALSE,Rental
20196,8,6,1,3,TRUE,48,175,670,BS,1,0,Widowed,Male,FALSE,Owner
20197,2,11,5,1,TRUE,60,125,NaN,BS,1,2,Single,Male,FALSE,Owner
20198,8,12,5,3,FALSE,22,175,NaN,None,1,1,Divorced,Female,FALSE,Rental
20199,10,1,2,4,TRUE,24,175,810,MS,5,0,Divorced,Female,TRUE,Rental
20200,7,7,1,6,TRUE,40,75,600,PhD,3,2,Separated,Female,TRUE,Owner
20201,2,1,2,6,TRUE,60,250,730,None,0,0,Separated,Male,FALSE,Owner
20202,1,3,5,6,TRUE,40,175,NaN,MS,0,0,Single,Female,FALSE,Owner
20203,0,1,11,6,FALSE,44,175,800,HS,3,2,Widowed,Male,TRUE,Rental
20204,8,1,2,6,FALSE,40,49,300,HS,1,0,Single,Female,FALSE,Rental
20205,8,13,5,3,TRUE,48,49,300,PhD,4,0,Separated,Male,TRUE,Owner
20206,0,1,0,3,TRUE,35,310,300,PhD,1,0,Widowed,Female,TRUE,Owner
20207,7,15,1,1,TRUE,67,125,810,None,6,1,Widowed,Male,FALSE,Owner
20208,0,4,1,1,TRUE,57,75,300,PhD,6,0,Divorced,Female,FALSE,Owner
20209,3,6,2,4,TRUE,24,125,730,HS,4,2,Separated,Male,FALSE,Owner
20210,8,12,2,3,FALSE,65,250,600,MS,4,1,Widowed,Male,FALSE,Owner
20211,0,6,5,4,FALSE,20,49,730,PhD,1,2,Single,Female,TRUE,Owner
20212,9,11,0,3,FALSE,44,125,300,PhD,4,3,Divorced,Female,FALSE,Rental
20213,8,4,5,3,TRUE,35,310,800,MS,3,0,Divorced,Male,FALSE,Owner
20214,3,12,2,3,FALSE,22,49,500,BS,4,3,Single,Male,TRUE,Owner
20215,9,10,0,1,TRUE,56,49,760,BS,3,0,Widowed,Female,FALSE,Owner
20216,3,4,5,6,FALSE,50,175,670,BS,3,0,Separated,Male,TRUE,Owner
20217,4,10,2,1,TRUE,77,75,NaN,BS,6,0,Married,Male,FALSE,Owner
20218,10,8,1,4,FALSE,63,310,620,PhD,2,1,Married,Male,FALSE,Owner
20219,9,12,2,6,FALSE,37,125,670,MS,0,1,Widowed,Female,TRUE,Owner
20220,1,6,2,1,FALSE,24,175,730,PhD,6,3,Single,Female,TRUE,Owner
20221,5,12,5,1,TRUE,63,49,730,HS,5,1,Single,Female,FALSE,Rental
20222,10,12,2,3,TRUE,22,49,300,None,1,3,Married,Male,TRUE,Rental
20223,2,5,1,4,FALSE,24,49,760,HS,1,0,Widowed,Female,TRUE,Owner
20224,5,9,2,3,FALSE,37,175,600,PhD,2,2,Separated,Female,TRUE,Owner
20225,6,5,1,4,TRUE,70,125,850,BS,1,1,Widowed,Male,TRUE,Rental
20226,6,8,1,1,FALSE,67,310,660,BS,6,3,Divorced,Female,FALSE,Owner
20227,6,2,1,1,FALSE,37,125,600,PhD,5,2,Married,Male,FALSE,Rental
20228,9,13,1,4,TRUE,60,250,800,None,5,2,Divorced,Female,TRUE,Owner
20229,10,6,11,1,TRUE,22,49,NaN,BS,1,1,Married,Male,FALSE,Owner
20230,10,10,0,4,FALSE,37,310,600,MS,1,3,Married,Male,FALSE,Rental
20231,4,15,11,4,TRUE,48,175,850,PhD,4,1,Single,Female,FALSE,Rental
20232,0,3,5,3,FALSE,77,310,NaN,PhD,5,0,Married,Male,TRUE,Rental
20233,9,3,11,4,FALSE,56,310,670,HS,4,0,Single,Female,TRUE,Owner
20234,5,2,11,1,FALSE,63,175,730,MS,6,3,Separated,Male,FALSE,Rental
20235,4,2,5,3,FALSE,48,125,500,PhD,1,1,Single,Female,FALSE,Rental
20236,7,10,1,4,FALSE,30,250,500,BS,1,3,Widowed,Female,TRUE,Rental
20237,9,13,0,3,TRUE,77,175,850,None,6,1,Divorced,Female,TRUE,Owner
20238,1,11,0,6,TRUE,22,250,810,MS,1,1,Divorced,Male,FALSE,Rental
20239,1,10,2,3,TRUE,66,49,760,None,0,3,Divorced,Male,TRUE,Owner
20240,5,2,0,4,FALSE,65,75,810,PhD,5,0,Divorced,Male,TRUE,Rental
20241,8,8,11,1,TRUE,40,125,600,None,5,3,Divorced,Female,FALSE,Rental
20242,4,14,5,6,FALSE,70,49,600,BS,6,2,Married,Male,TRUE,Rental
20243,3,11,11,1,TRUE,20,310,670,None,0,2,Widowed,Male,FALSE,Owner
20244,9,3,2,1,FALSE,37,75,850,PhD,4,2,Divorced,Female,TRUE,Rental
20245,1,2,1,3,FALSE,22,250,670,BS,0,2,Separated,Male,TRUE,Owner
20246,8,11,2,1,FALSE,60,75,660,PhD,3,0,Separated,Male,FALSE,Rental
20247,8,3,0,6,FALSE,40,75,500,PhD,1,3,Divorced,Male,TRUE,Rental
20248,6,8,0,6,FALSE,60,75,600,MS,5,1,Married,Female,TRUE,Rental
20249,1,10,0,1,TRUE,22,310,670,HS,1,0,Widowed,Male,FALSE,Owner
20250,2,12,11,6,FALSE,40,75,NaN,BS,0,0,Single,Male,TRUE,Rental
20251,9,15,2,6,TRUE,56,250,800,PhD,2,1,Single,Male,FALSE,Owner
20252,2,10,2,6,TRUE,67,125,800,None,3,3,Separated,Female,FALSE,Rental
20253,2,8,5,6,TRUE,70,310,670,PhD,5,1,Widowed,Female,FALSE,Rental
20254,3,5,5,6,FALSE,24,125,660,PhD,6,1,Married,Female,TRUE,Rental
20255,8,6,11,4,TRUE,35,49,850,BS,5,1,Married,Female,TRUE,Owner
20256,4,12,1,4,TRUE,44,250,730,PhD,0,2,Divorced,Male,FALSE,Rental
20257,8,10,11,4,TRUE,63,49,810,None,6,0,Separated,Male,FALSE,Owner
20258,8,12,0,1,FALSE,57,310,500,MS,0,1,Married,Female,TRUE,Owner
20259,6,7,5,4,TRUE,56,75,670,BS,6,1,Divorced,Male,FALSE,Owner
20260,6,4,11,3,TRUE,60,175,660,PhD,2,1,Divorced,Male,FALSE,Rental
20261,5,5,2,1,TRUE,22,49,670,HS,2,1,Single,Female,FALSE,Owner
20262,9,10,1,1,TRUE,77,250,810,None,1,2,Single,Female,FALSE,Owner
20263,5,14,1,6,FALSE,57,125,620,None,4,2,Single,Female,FALSE,Owner
20264,9,7,5,6,TRUE,NaN,125,760,HS,3,2,Divorced,Male,TRUE,Owner
20265,0,14,1,4,TRUE,56,250,730,HS,4,0,Widowed,Male,FALSE,Rental
20266,1,7,1,6,TRUE,60,49,300,None,5,3,Widowed,Male,FALSE,Rental
20267,2,10,2,1,TRUE,66,125,730,HS,0,1,Married,Male,FALSE,Rental
20268,1,1,5,4,FALSE,37,125,NaN,HS,3,3,Widowed,Male,TRUE,Rental
20269,0,15,5,1,TRUE,40,175,660,MS,5,3,Separated,Male,FALSE,Rental
20270,1,5,1,6,TRUE,50,250,810,MS,4,0,Single,Male,FALSE,Rental
20271,0,7,1,3,TRUE,57,75,810,PhD,4,1,Separated,Male,TRUE,Rental
20272,10,10,11,4,FALSE,22,250,760,HS,4,0,Widowed,Male,FALSE,Owner
20273,10,7,0,4,FALSE,63,125,850,HS,4,2,Married,Male,FALSE,Owner
20274,8,14,11,4,FALSE,22,250,730,None,3,0,Separated,Female,TRUE,Rental
20275,3,7,2,3,TRUE,56,310,800,None,2,2,Married,Male,FALSE,Owner
20276,4,12,11,4,FALSE,56,310,670,BS,3,3,Divorced,Male,FALSE,Owner
20277,5,2,5,3,TRUE,67,75,600,BS,0,1,Widowed,Female,TRUE,Owner
20278,5,13,5,1,FALSE,37,125,620,HS,5,0,Widowed,Female,TRUE,Owner
20279,8,10,5,4,TRUE,NaN,175,730,HS,0,1,Married,Male,TRUE,Owner
20280,2,15,0,6,TRUE,65,49,760,HS,2,2,Widowed,Female,FALSE,Rental
20281,5,2,1,3,FALSE,50,125,NaN,BS,3,1,Married,Male,FALSE,Owner
20282,4,7,5,1,TRUE,48,49,600,BS,3,2,Separated,Female,TRUE,Owner
20283,7,13,2,4,FALSE,NaN,250,800,None,2,3,Widowed,Female,FALSE,Owner
20284,2,14,0,3,FALSE,44,75,730,None,4,3,Single,Female,FALSE,Owner
20285,2,6,11,1,FALSE,70,175,600,MS,2,3,Married,Female,FALSE,Rental
20286,9,12,2,1,FALSE,66,125,NaN,MS,1,2,Widowed,Female,TRUE,Rental
20287,4,1,2,1,FALSE,57,175,660,None,3,3,Divorced,Male,FALSE,Owner
20288,10,4,1,4,TRUE,56,75,620,BS,5,1,Single,Female,TRUE,Owner
20289,0,12,0,3,TRUE,NaN,250,730,PhD,3,1,Married,Male,FALSE,Owner
20290,9,10,11,3,FALSE,50,310,600,None,6,2,Married,Male,FALSE,Rental
20291,9,4,5,3,TRUE,40,310,810,None,5,1,Divorced,Female,FALSE,Rental
20292,0,1,5,4,TRUE,48,310,760,MS,4,2,Married,Male,FALSE,Rental
20293,7,14,0,3,FALSE,67,175,660,MS,0,1,Separated,Male,TRUE,Owner
20294,9,3,11,4,FALSE,37,250,NaN,MS,6,3,Separated,Female,FALSE,Rental
20295,9,12,2,3,TRUE,57,125,800,BS,5,1,Separated,Male,FALSE,Owner
20296,8,12,5,1,TRUE,22,310,760,None,3,0,Divorced,Male,TRUE,Owner
20297,9,2,0,6,FALSE,77,175,NaN,PhD,5,3,Married,Male,TRUE,Rental
20298,6,3,2,6,FALSE,NaN,75,300,BS,1,0,Divorced,Male,FALSE,Owner
20299,2,7,5,3,TRUE,63,250,660,MS,0,0,Married,Male,FALSE,Owner
20300,6,1,5,1,FALSE,50,250,810,None,6,2,Single,Female,TRUE,Rental
20301,3,2,2,1,FALSE,60,49,670,None,1,0,Single,Male,TRUE,Rental
20302,9,8,0,4,FALSE,50,250,300,None,6,2,Married,Female,TRUE,Owner
20303,1,10,2,1,FALSE,37,310,620,BS,5,2,Single,Female,TRUE,Rental
20304,3,10,0,1,FALSE,24,75,300,BS,1,3,Single,Male,TRUE,Rental
20305,2,12,2,3,TRUE,77,125,810,MS,6,1,Widowed,Male,TRUE,Owner
20306,7,4,5,1,TRUE,20,125,800,BS,5,3,Married,Male,TRUE,Rental
20307,7,6,5,3,FALSE,56,175,810,PhD,3,2,Single,Female,FALSE,Rental
20308,0,2,2,4,FALSE,22,49,NaN,HS,4,2,Divorced,Male,TRUE,Rental
20309,10,3,11,6,TRUE,20,175,660,PhD,3,1,Single,Male,TRUE,Rental
20310,10,15,2,3,FALSE,48,250,810,None,5,1,Married,Female,FALSE,Rental
20311,0,1,2,3,FALSE,77,125,850,None,3,1,Divorced,Female,TRUE,Rental
20312,7,7,0,6,FALSE,60,125,620,BS,3,3,Single,Male,TRUE,Rental
20313,0,9,1,3,FALSE,30,250,670,MS,4,2,Widowed,Female,TRUE,Owner
20314,5,15,2,1,TRUE,50,310,500,BS,5,2,Separated,Female,TRUE,Owner
20315,8,4,5,1,FALSE,60,75,800,PhD,3,2,Single,Female,FALSE,Rental
20316,0,4,0,3,FALSE,63,49,850,BS,6,0,Separated,Male,TRUE,Owner
20317,0,10,0,3,TRUE,65,75,760,HS,3,3,Married,Male,FALSE,Owner
20318,2,3,2,4,TRUE,66,175,760,PhD,0,0,Divorced,Female,TRUE,Owner
20319,4,8,5,1,TRUE,NaN,75,850,None,3,0,Single,Female,FALSE,Rental
20320,5,2,0,3,FALSE,56,250,600,PhD,4,2,Single,Female,FALSE,Rental
20321,8,12,2,1,TRUE,30,310,NaN,BS,0,3,Divorced,Female,FALSE,Rental
20322,3,4,11,3,TRUE,35,125,760,HS,5,1,Single,Male,TRUE,Owner
20323,8,5,0,1,FALSE,65,175,500,PhD,5,3,Single,Female,FALSE,Rental
20324,7,11,0,6,FALSE,77,125,850,HS,5,0,Married,Male,FALSE,Rental
20325,5,1,2,1,TRUE,37,250,850,PhD,4,2,Single,Male,TRUE,Rental
20326,10,3,0,4,TRUE,60,175,760,MS,0,1,Separated,Female,TRUE,Rental
20327,0,11,5,6,FALSE,37,75,600,HS,5,3,Single,Female,FALSE,Owner
20328,8,6,2,4,FALSE,56,175,810,MS,5,1,Widowed,Female,TRUE,Owner
20329,3,11,5,6,TRUE,20,175,670,BS,3,2,Separated,Male,FALSE,Owner
20330,8,6,5,3,TRUE,48,125,600,None,4,0,Divorced,Female,TRUE,Rental
20331,5,7,5,1,FALSE,48,125,730,None,2,3,Widowed,Male,TRUE,Rental
20332,6,14,11,3,TRUE,35,175,730,MS,0,3,Divorced,Male,TRUE,Rental
20333,8,14,5,4,FALSE,40,75,NaN,None,4,3,Divorced,Male,TRUE,Rental
20334,6,5,5,4,TRUE,40,250,670,MS,3,2,Divorced,Female,FALSE,Owner
20335,8,14,5,1,FALSE,NaN,125,730,MS,6,1,Married,Female,TRUE,Owner
20336,0,3,1,4,TRUE,20,250,760,MS,1,1,Single,Male,FALSE,Rental
20337,8,8,11,4,FALSE,56,49,800,BS,6,2,Married,Female,FALSE,Rental
20338,7,6,5,6,TRUE,22,310,760,BS,0,2,Separated,Male,TRUE,Rental
20339,9,11,1,4,FALSE,44,49,800,BS,5,3,Widowed,Male,TRUE,Rental
20340,10,8,0,6,FALSE,20,250,620,MS,5,3,Married,Male,TRUE,Rental
20341,9,15,2,4,TRUE,NaN,175,NaN,PhD,5,2,Divorced,Male,FALSE,Owner
20342,10,8,1,3,TRUE,56,125,660,HS,4,3,Widowed,Female,TRUE,Rental
20343,10,2,11,6,TRUE,50,75,620,MS,0,0,Single,Male,TRUE,Owner
20344,3,1,1,3,FALSE,70,175,810,MS,4,1,Widowed,Male,TRUE,Rental
20345,6,10,2,6,TRUE,40,75,670,PhD,0,3,Married,Male,TRUE,Rental
20346,6,7,2,4,FALSE,56,250,300,HS,3,0,Separated,Male,TRUE,Owner
20347,4,5,0,4,TRUE,30,175,500,MS,4,2,Widowed,Male,FALSE,Rental
20348,7,12,11,1,TRUE,77,310,730,HS,2,1,Single,Female,TRUE,Rental
20349,9,10,11,4,FALSE,22,49,850,BS,6,1,Single,Male,TRUE,Owner
20350,10,6,5,3,TRUE,NaN,250,600,None,0,0,Widowed,Female,FALSE,Rental
